workload,model_size,batch,H,W,precision,num_inputs,num_outputs,total_input_bytes,total_output_bytes,weight_bytes,param_count,op_Add,op_Concat,op_Constant,op_Conv,op_GlobalAveragePool,op_Mul,op_Reshape,op_Sigmoid,op_Split,Avg_cpu_mem_MB,Max_cpu_mem_MB
cls,n,1,320,320,fp16,1,1,614400,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,237.0,647.0
cls,n,1,320,320,fp32,1,1,1228800,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,291.0,536.0
cls,n,1,320,320,int8,1,1,307200,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,297.0,541.0
cls,n,1,480,480,fp16,1,1,1382400,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,335.0,745.0
cls,n,1,480,480,fp32,1,1,2764800,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,314.0,754.0
cls,n,1,480,480,int8,1,1,691200,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,317.0,658.0
cls,n,1,640,640,fp16,1,1,2457600,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,384.0,950.0
cls,n,1,640,640,int8,1,1,1228800,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,395.0,952.0
cls,n,2,320,320,fp16,1,1,1228800,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,285.0,535.0
cls,n,2,320,320,fp32,1,1,2457600,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,271.0,512.0
cls,n,2,320,320,int8,1,1,614400,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,270.0,521.0
cls,n,2,480,480,fp16,1,1,2764800,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,323.0,737.0
cls,n,2,480,480,fp32,1,1,5529600,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,322.0,740.0
cls,n,2,480,480,int8,1,1,1382400,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,318.0,720.0
cls,n,2,640,640,fp16,1,1,4915200,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,398.0,930.0
cls,n,2,640,640,fp32,1,1,9830400,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,371.0,984.0
cls,n,2,640,640,int8,1,1,2457600,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,416.0,968.0
cls,n,4,320,320,fp16,1,1,2457600,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,281.0,542.0
cls,n,4,320,320,fp32,1,1,4915200,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,273.0,532.0
cls,n,4,320,320,int8,1,1,1228800,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,280.0,545.0
cls,n,4,480,480,fp16,1,1,5529600,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,321.0,737.0
cls,n,4,480,480,fp32,1,1,11059200,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,351.0,829.0
cls,n,4,480,480,int8,1,1,2764800,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,299.0,726.0
cls,n,4,640,640,fp16,1,1,9830400,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,396.0,939.0
cls,n,4,640,640,fp32,1,1,19660800,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,344.0,949.0
cls,n,4,640,640,int8,1,1,4915200,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,349.0,964.0
cls,n,8,320,320,fp16,1,1,4915200,32000,10863520,2715880,6,4,4,26,1,26,0,26,4,294.0,561.0
